Date,CO2
1958-03-15,315.71
1958-04-16,317.45
1958-05-16,317.51
1958-06-16,317.27
1958-07-16,315.87
1958-08-15,314.93
1958-09-15,313.21
1958-10-15,312.42
1958-11-16,313.33
1958-12-16,314.67
1959-01-16,315.58
1959-02-15,316.49
1959-03-15,316.65
1959-04-16,317.72
1959-05-16,318.29
1959-06-16,318.15
1959-07-16,316.54
1959-08-15,314.8
1959-09-15,313.84
1959-10-15,313.33
1959-11-16,314.81
1959-12-16,315.58
1960-01-16,316.43
1960-02-16,316.98
1960-03-15,317.58
1960-04-15,319.03
1960-05-16,320.03
1960-06-16,319.58
1960-07-16,318.18
1960-08-16,315.9
1960-09-16,314.17
1960-10-15,313.83
1960-11-15,315.0
1960-12-16,316.19
1961-01-16,316.89
1961-02-15,317.7
1961-03-15,318.54
1961-04-16,319.48
1961-05-16,320.58
1961-06-16,319.77
1961-07-16,318.56
1961-08-15,316.79
1961-09-15,314.99
1961-10-15,315.31
1961-11-16,316.1
1961-12-16,317.01
1962-01-16,317.94
1962-02-15,318.55
1962-03-15,319.68
1962-04-16,320.57
1962-05-16,321.02
1962-06-16,320.62
1962-07-16,319.61
1962-08-15,317.4
1962-09-15,316.24
1962-10-15,315.42
1962-11-16,316.69
1962-12-16,317.7
1963-01-16,318.74
1963-02-15,319.07
1963-03-15,319.86
1963-04-16,321.38
1963-05-16,322.24
1963-06-16,321.49
1963-07-16,319.74
1963-08-15,317.77
1963-09-15,316.21
1963-10-15,315.99
1963-11-16,317.07
1963-12-16,318.35
1964-01-16,319.57
1964-02-16,320.04
1964-03-15,320.75
1964-04-15,321.84
1964-05-16,322.25
1964-06-16,321.89
1964-07-16,320.44
1964-08-16,318.69
1964-09-16,316.71
1964-10-15,316.87
1964-11-15,317.68
1964-12-16,318.71
1965-01-16,319.44
1965-02-15,320.44
1965-03-15,320.89
1965-04-16,322.14
1965-05-16,322.17
1965-06-16,321.87
1965-07-16,321.21
1965-08-15,318.87
1965-09-15,317.82
1965-10-15,317.3
1965-11-16,318.87
1965-12-16,319.42
1966-01-16,320.62
1966-02-15,321.6
1966-03-15,322.39
1966-04-16,323.7
1966-05-16,324.08
1966-06-16,323.75
1966-07-16,322.37
1966-08-15,320.36
1966-09-15,318.64
1966-10-15,318.1
1966-11-16,319.78
1966-12-16,321.02
1967-01-16,322.33
1967-02-15,322.5
1967-03-15,323.03
1967-04-16,324.41
1967-05-16,325.0
1967-06-16,324.09
1967-07-16,322.54
1967-08-15,320.92
1967-09-15,319.25
1967-10-15,319.39
1967-11-16,320.73
1967-12-16,321.96
1968-01-16,322.57
1968-02-16,323.15
1968-03-15,323.89
1968-04-15,325.02
1968-05-16,325.57
1968-06-16,325.36
1968-07-16,324.14
1968-08-16,322.11
1968-09-16,320.33
1968-10-15,320.25
1968-11-15,321.32
1968-12-16,322.89
1969-01-16,324.0
1969-02-15,324.41
1969-03-15,325.63
1969-04-16,326.66
1969-05-16,327.38
1969-06-16,326.71
1969-07-16,325.88
1969-08-15,323.66
1969-09-15,322.38
1969-10-15,321.78
1969-11-16,322.85
1969-12-16,324.11
1970-01-16,325.06
1970-02-15,325.99
1970-03-15,326.93
1970-04-16,328.13
1970-05-16,328.08
1970-06-16,327.67
1970-07-16,326.34
1970-08-15,324.68
1970-09-15,323.1
1970-10-15,323.06
1970-11-16,324.01
1970-12-16,325.13
1971-01-16,326.17
1971-02-15,326.69
1971-03-15,327.18
1971-04-16,327.78
1971-05-16,328.93
1971-06-16,328.57
1971-07-16,327.36
1971-08-15,325.43
1971-09-15,323.36
1971-10-15,323.56
1971-11-16,324.8
1971-12-16,326.01
1972-01-16,326.77
1972-02-16,327.63
1972-03-15,327.75
1972-04-15,329.72
1972-05-16,330.07
1972-06-16,329.09
1972-07-16,328.04
1972-08-16,326.32
1972-09-16,324.84
1972-10-15,325.2
1972-11-15,326.5
1972-12-16,327.55
1973-01-16,328.55
1973-02-15,329.57
1973-03-15,330.3
1973-04-16,331.5
1973-05-16,332.48
1973-06-16,332.07
1973-07-16,330.87
1973-08-15,329.31
1973-09-15,327.52
1973-10-15,327.19
1973-11-16,328.17
1973-12-16,328.65
1974-01-16,329.36
1974-02-15,330.71
1974-03-15,331.49
1974-04-16,332.65
1974-05-17,333.19
1974-06-17,332.2
1974-07-17,331.07
1974-08-17,329.15
1974-09-16,327.33
1974-10-16,327.28
1974-11-16,328.31
1974-12-16,329.58
1975-01-16,330.73
1975-02-15,331.46
1975-03-18,331.94
1975-04-17,333.11
1975-05-17,333.95
1975-06-17,333.42
1975-07-17,331.97
1975-08-17,329.95
1975-09-16,328.49
1975-10-16,328.36
1975-11-16,329.38
1975-12-16,330.78
1976-01-16,331.56
1976-02-15,332.74
1976-03-17,333.36
1976-04-16,334.74
1976-05-17,334.72
1976-06-16,333.97
1976-07-17,333.08
1976-08-16,330.68
1976-09-16,328.96
1976-10-16,328.72
1976-11-16,330.16
1976-12-16,331.62
1977-01-16,332.68
1977-02-15,333.17
1977-03-18,334.96
1977-04-17,336.14
1977-05-17,336.93
1977-06-17,336.17
1977-07-17,334.89
1977-08-17,332.56
1977-09-16,331.29
1977-10-16,331.28
1977-11-16,332.46
1977-12-16,333.6
1978-01-16,334.94
1978-02-15,335.26
1978-03-18,336.66
1978-04-17,337.69
1978-05-17,338.02
1978-06-17,338.01
1978-07-17,336.5
1978-08-17,334.42
1978-09-16,332.36
1978-10-16,332.45
1978-11-16,333.76
1978-12-16,334.91
1979-01-16,336.14
1979-02-15,336.69
1979-03-18,338.27
1979-04-17,338.82
1979-05-17,339.24
1979-06-17,339.26
1979-07-17,337.54
1979-08-17,335.72
1979-09-16,333.97
1979-10-16,334.24
1979-11-16,335.32
1979-12-16,336.81
1980-01-16,337.9
1980-02-15,338.34
1980-03-17,340.07
