Date,CO2,Year
1958-12-31,315.23699999999997,1958
1959-12-31,315.9816666666666,1959
1960-12-31,316.90833333333336,1960
1961-12-31,317.6433333333334,1961
1962-12-31,318.4533333333333,1962
1963-12-31,318.9925,1963
1964-12-31,319.62,1964
1965-12-31,320.0366666666667,1965
1966-12-31,321.3675,1966
1967-12-31,322.1791666666667,1967
1968-12-31,323.05,1968
1969-12-31,324.62083333333334,1969
1970-12-31,325.6816666666667,1970
1971-12-31,326.32,1971
1972-12-31,327.45666666666665,1972
1973-12-31,329.6816666666667,1973
1974-12-31,330.1933333333333,1974
1975-12-31,331.12833333333333,1975
1976-12-31,332.0258333333333,1976
1977-12-31,333.8441666666667,1977
1978-12-31,335.415,1978
1979-12-31,336.835,1979
1980-12-31,338.7625,1980
1981-12-31,340.12,1981
1982-12-31,341.4783333333333,1982
1983-12-31,343.1525,1983
1984-12-31,344.86833333333334,1984
1985-12-31,346.3516666666667,1985
1986-12-31,347.6075,1986
1987-12-31,349.31166666666667,1987
1988-12-31,351.69,1988
1989-12-31,353.205,1989
1990-12-31,354.45250000000004,1990
1991-12-31,355.70416666666665,1991
1992-12-31,356.54583333333335,1992
1993-12-31,357.215,1993
1994-12-31,358.9591666666667,1994
1995-12-31,360.9683333333333,1995
1996-12-31,362.74333333333334,1996
1997-12-31,363.8766666666666,1997
1998-12-31,366.84,1998
1999-12-31,368.53999999999996,1999
2000-12-31,369.7075,2000
2001-12-31,371.31916666666666,2001
2002-12-31,373.45250000000004,2002
2003-12-31,375.98333333333335,2003
2004-12-31,377.6983333333333,2004
2005-12-31,379.9825,2005
2006-12-31,382.09083333333336,2006
2007-12-31,384.02500000000003,2007
2008-12-31,385.83166666666665,2008
2009-12-31,387.6425,2009
2010-12-31,390.1016666666667,2010
2011-12-31,391.85083333333336,2011
2012-12-31,394.05583333333334,2012
2013-12-31,396.7375,2013
2014-12-31,398.8125,2014
2015-12-31,401.0125,2015
2016-12-31,404.41249999999997,2016
2017-12-31,406.7575,2017
2018-12-31,408.715,2018
2019-12-31,411.64916666666664,2019
2020-12-31,414.21333333333337,2020
2021-12-31,416.4141666666667,2021
2022-12-31,418.52833333333336,2022
2023-12-31,421.0758333333333,2023
2024-12-31,424.605,2024
