Date,Temperature,Decade,CO2,Predicted
1958-03-15,0.08,1950,315.71,-0.08793005056975112
1958-04-16,0.01,1950,317.45,-0.06934261616988247
1958-05-16,0.06,1950,317.51,-0.06870167015609407
1958-06-16,-0.09,1950,317.27,-0.07126545421124852
1958-07-16,0.05,1950,315.87,-0.086220861199648
1958-08-15,-0.05,1950,314.93,-0.09626234874900241
1958-09-15,-0.03,1950,313.21,-0.11463613447760856
1958-10-15,0.04,1950,312.42,-0.12307525699249089
1958-11-16,0.02,1950,313.33,-0.11335424245003134
1958-12-16,0.01,1950,314.67,-0.09903978147541936
1959-01-16,0.08,1950,315.58,-0.08931876693295981
1959-02-15,0.07,1950,316.49,-0.07959775239049938
1959-03-15,0.18,1950,316.65,-0.07788856302039715
1959-04-16,0.16,1950,317.72,-0.0664583591078336
1959-05-16,0.04,1950,318.29,-0.060369371976842334
1959-06-16,0.03,1950,318.15,-0.06186491267568295
1959-07-16,0.03,1950,316.54,-0.07906363071234246
1959-08-15,-0.01,1950,314.8,-0.09765106511221111
1959-09-15,-0.06,1950,313.84,-0.10790620133282847
1959-10-15,-0.07,1950,313.33,-0.11335424245003134
1959-11-16,-0.08,1950,314.81,-0.09754424077657964
1959-12-16,0.0,1950,315.58,-0.08931876693295981
1960-01-16,0.0,1960,316.43,-0.08023869840428821
1960-02-16,0.13,1960,316.98,-0.07436335994455945
1960-03-15,-0.35,1960,317.58,-0.06795389980667421
1960-04-15,-0.15,1960,319.03,-0.05246437114011737
1960-05-16,-0.08,1960,320.03,-0.041781937576974126
1960-06-16,-0.04,1960,319.58,-0.04658903268038861
1960-07-16,-0.04,1960,318.18,-0.06154443966878809
1960-08-16,0.02,1960,315.9,-0.08590038819275403
1960-09-16,0.07,1960,314.17,-0.10438099825699076
1960-10-15,0.06,1960,313.83,-0.10801302566845994
1960-11-15,-0.11,1960,315.0,-0.09551457839958255
1960-12-16,0.19,1960,316.19,-0.08280248245944266
1961-01-16,0.07,1960,316.89,-0.0753247789652427
1961-02-15,0.19,1960,317.7,-0.06667200777909699
1961-03-15,0.09,1960,318.54,-0.057698763586056856
1961-04-16,0.13,1960,319.48,-0.047657276036702445
1961-05-16,0.12,1960,320.58,-0.03590659911724581
1961-06-16,0.12,1960,319.77,-0.04455937030339152
1961-07-16,0.01,1960,318.56,-0.05748511491479391
1961-08-15,0.01,1960,316.79,-0.07639302232155654
1961-09-15,0.08,1960,314.99,-0.09562140273521402
1961-10-15,0.0,1960,315.31,-0.09220302399500824
1961-11-16,0.03,1960,316.1,-0.08376390148012502
1961-12-16,-0.16,1960,317.01,-0.07404288693766548
1962-01-16,0.05,1960,317.94,-0.06410822372394254
1962-02-15,0.15,1960,318.55,-0.057591939250425384
1962-03-15,0.1,1960,319.68,-0.045520789324073885
1962-04-16,0.05,1960,320.57,-0.036013423452876836
1962-05-16,-0.06,1960,321.02,-0.031206328349462797
1962-06-16,0.03,1960,320.62,-0.03547930177471992
1962-07-16,0.02,1960,319.61,-0.04626855967349375
1962-08-15,-0.01,1960,317.4,-0.06987673784803983
1962-09-15,0.0,1960,316.24,-0.0822683607812853
1962-10-15,0.01,1960,315.42,-0.09102795630306248
1962-11-16,0.06,1960,316.69,-0.07746126567787126
1962-12-16,-0.03,1960,317.7,-0.06667200777909699
1963-01-16,-0.03,1960,318.74,-0.055562276873428296
1963-02-15,0.18,1960,319.07,-0.05203707379759104
1963-03-15,-0.14,1960,319.86,-0.04359795128270827
1963-04-16,-0.07,1960,321.38,-0.027360652266731122
1963-05-16,-0.06,1960,322.24,-0.018173759402428047
1963-06-16,0.05,1960,321.49,-0.02618558457478537
1963-07-16,0.06,1960,319.74,-0.044879843310285494
1963-08-15,0.22,1960,317.77,-0.06592423742967712
1963-09-15,0.17,1960,316.21,-0.08258883378817972
1963-10-15,0.14,1960,315.99,-0.08493896917207122
1963-11-16,0.15,1960,317.07,-0.07340194092387708
1963-12-16,-0.03,1960,318.35,-0.059728425963053944
1964-01-16,-0.09,1960,319.57,-0.04669585701601964
1964-02-16,-0.1,1960,320.04,-0.04167511324134221
1964-03-15,-0.21,1960,320.75,-0.03409058541151122
1964-04-15,-0.32,1960,321.84,-0.02244673282768561
1964-05-16,-0.25,1960,322.25,-0.01806693506679702
1964-06-16,-0.04,1960,321.89,-0.021912611149528693
1964-07-16,-0.04,1960,320.44,-0.03740213981608553
1964-08-16,-0.22,1960,318.69,-0.05609639855158566
1964-09-16,-0.29,1960,316.71,-0.07724761700660832
1964-10-15,-0.31,1960,316.87,-0.0755384276365052
1964-11-15,-0.21,1960,317.68,-0.06688565645035949
1964-12-16,-0.3,1960,318.71,-0.05588274988032271
1965-01-16,-0.08,1960,319.44,-0.048084573379228335
1965-02-15,-0.17,1960,320.44,-0.03740213981608553
1965-03-15,-0.13,1960,320.89,-0.032595044712671495
1965-04-16,-0.19,1960,322.14,-0.01924200275874277
1965-05-16,-0.12,1960,322.17,-0.018921529751848354
1965-06-16,-0.08,1960,321.87,-0.022126259820791194
1965-07-16,-0.13,1960,321.21,-0.02917666597246571
1965-08-15,-0.04,1960,318.87,-0.0541735605102196
1965-09-15,-0.15,1960,317.82,-0.06539011575151976
1965-10-15,-0.05,1960,317.3,-0.07094498120435366
1965-11-16,-0.06,1960,318.87,-0.0541735605102196
1965-12-16,-0.08,1960,319.42,-0.048298222050490835
1966-01-16,-0.19,1960,320.62,-0.03547930177471992
1966-02-15,-0.04,1960,321.6,-0.025010516882839617
1966-03-15,0.04,1960,322.39,-0.016571394367957293
1966-04-16,-0.13,1960,323.7,-0.0025774064002397346
1966-05-16,-0.12,1960,324.08,0.0014819183537544411
1966-06-16,0.01,1960,323.75,-0.0020432847220828165
1966-07-16,0.08,1960,322.37,-0.016785043039219794
1966-08-15,-0.09,1960,320.36,-0.03825673450113687
1966-09-15,-0.03,1960,318.64,-0.056630520229742576
1966-10-15,-0.17,1960,318.1,-0.06239903435383942
1966-11-16,-0.01,1960,319.78,-0.04445254596776005
1966-12-16,-0.03,1960,321.02,-0.031206328349462797
1967-01-16,-0.07,1960,322.33,-0.017212340381745683
1967-02-15,-0.21,1960,322.5,-0.015396326676011096
1967-03-15,0.05,1960,323.03,-0.009734636887545722
1967-04-16,-0.05,1960,324.41,0.005007121429591699
1967-05-16,0.12,1960,325.0,0.011309757231845907
1967-06-16,-0.08,1960,324.09,0.0015887426893854695
1967-07-16,0.02,1960,322.54,-0.014969029333485206
1967-08-15,0.01,1960,320.92,-0.032274571705776633
1967-09-15,-0.06,1960,319.25,-0.05011423575622542
1967-10-15,0.09,1960,319.39,-0.0486186950573857
1967-11-16,-0.05,1960,320.73,-0.03430423408277372
1967-12-16,-0.05,1960,321.96,-0.021164840800108387
1968-01-16,-0.26,1960,322.57,-0.014648556326591233
1968-02-16,-0.14,1960,323.15,-0.008452744859968497
1968-03-15,0.2,1960,323.89,-0.0005477440232426467
1968-04-15,-0.06,1960,325.02,0.011523405903108408
1968-05-16,-0.14,1960,325.57,0.01739874436283717
1968-06-16,-0.09,1960,325.36,0.015155433314577582
1968-07-16,-0.13,1960,324.14,0.0021228643675428316
1968-08-16,-0.08,1960,322.11,-0.019562475765636744
1968-09-16,-0.19,1960,320.33,-0.038577207508031286
1968-10-15,0.09,1960,320.25,-0.03943180219308262
1968-11-15,-0.05,1960,321.32,-0.028001598280519957
1968-12-16,-0.15,1960,322.89,-0.011230177586385448
1969-01-16,-0.11,1960,324.0,0.0006273236687031059
1969-02-15,-0.18,1960,324.41,0.005007121429591699
1969-03-15,0.01,1960,325.63,0.018039690376626005
1969-04-16,0.17,1960,326.66,0.029042596946663224
1969-05-16,0.18,1960,327.38,0.036733949112125686
1969-06-16,0.03,1960,326.71,0.029576718624819698
1969-07-16,-0.04,1960,325.88,0.020710298767411484
1969-08-15,0.04,1960,323.66,-0.00300470374276518
1969-09-15,0.08,1960,322.38,-0.01667821870358832
1969-10-15,0.09,1960,321.78,-0.023087678841474446
1969-11-16,0.12,1960,322.85,-0.011657474928910894
1969-12-16,0.24,1960,324.11,0.0018023913606488584
1970-01-16,0.08,1970,325.06,0.011950703245634298
1970-02-15,0.22,1970,325.99,0.021885366459357236
1970-03-15,0.06,1970,326.93,0.03192685400871165
1970-04-16,0.05,1970,328.13,0.04474577428448301
1970-05-16,-0.03,1970,328.08,0.04421165260632565
1970-06-16,-0.02,1970,327.67,0.0398318548454375
1970-07-16,0.02,1970,326.34,0.025624218206456995
1970-08-15,-0.1,1970,324.68,0.007891378491640122
1970-09-15,0.12,1970,323.1,-0.008986866538125415
1970-10-15,0.03,1970,323.06,-0.009414163880651305
1970-11-16,0.02,1970,324.01,0.0007341480043345783
1970-12-16,-0.12,1970,325.13,0.012698473595054605
1971-01-16,-0.02,1970,326.17,0.023808204500723296
1971-02-15,-0.15,1970,326.69,0.029363069953557197
1971-03-15,-0.18,1970,327.18,0.034597462399497125
