Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.20,-.26,-.09,-.17,-.10,-.22,-.21,-.11,-.16,-.23,-.23,-.19,-.18,***,***,-.12,-.18,-.21
1881,-.20,-.16,.02,.03,.06,-.19,.00,-.05,-.16,-.22,-.19,-.08,-.10,-.11,-.18,.04,-.08,-.19
1882,.15,.13,.04,-.17,-.14,-.23,-.17,-.08,-.15,-.24,-.17,-.37,-.12,-.09,.07,-.09,-.16,-.19
1883,-.30,-.37,-.13,-.19,-.18,-.08,-.08,-.15,-.23,-.12,-.24,-.12,-.18,-.20,-.35,-.17,-.10,-.20
1884,-.13,-.09,-.37,-.41,-.34,-.35,-.31,-.28,-.28,-.25,-.34,-.31,-.29,-.27,-.11,-.37,-.32,-.29
1885,-.59,-.34,-.27,-.42,-.46,-.44,-.34,-.32,-.29,-.24,-.24,-.11,-.34,-.35,-.41,-.38,-.37,-.26
1886,-.44,-.51,-.43,-.28,-.25,-.35,-.18,-.31,-.24,-.28,-.28,-.26,-.32,-.31,-.35,-.32,-.28,-.27
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.27,-.33,-.37,-.36,-.52,-.34,-.29,-.30
1888,-.34,-.36,-.42,-.21,-.22,-.17,-.11,-.16,-.12,.01,.02,-.04,-.18,-.20,-.35,-.28,-.15,-.03
1889,-.10,.16,.06,.09,-.02,-.10,-.08,-.21,-.24,-.26,-.34,-.29,-.11,-.09,.01,.04,-.13,-.28
1890,-.42,-.45,-.41,-.30,-.40,-.25,-.28,-.40,-.37,-.25,-.44,-.32,-.36,-.36,-.39,-.37,-.31,-.35
1891,-.34,-.47,-.18,-.28,-.17,-.21,-.18,-.18,-.16,-.22,-.32,-.04,-.23,-.25,-.38,-.21,-.19,-.23
1892,-.30,-.12,-.40,-.34,-.23,-.22,-.32,-.27,-.17,-.14,-.43,-.40,-.28,-.25,-.16,-.32,-.27,-.25
1893,-.81,-.57,-.23,-.28,-.34,-.25,-.14,-.26,-.23,-.19,-.19,-.32,-.32,-.32,-.59,-.28,-.22,-.20
1894,-.53,-.30,-.24,-.45,-.32,-.41,-.24,-.24,-.28,-.23,-.27,-.22,-.31,-.32,-.38,-.33,-.30,-.26
1895,-.42,-.43,-.33,-.22,-.28,-.21,-.17,-.18,-.13,-.11,-.18,-.15,-.23,-.24,-.36,-.28,-.19,-.14
1896,-.23,-.13,-.27,-.31,-.16,-.12,-.03,-.06,-.08,.05,-.05,-.06,-.12,-.13,-.17,-.25,-.07,-.03
1897,-.16,-.18,-.14,-.03,-.02,-.12,-.03,-.10,-.09,-.13,-.19,-.21,-.12,-.10,-.13,-.07,-.08,-.14
1898,-.03,-.31,-.52,-.31,-.31,-.20,-.23,-.27,-.22,-.35,-.39,-.24,-.28,-.28,-.18,-.38,-.23,-.32
1899,-.17,-.39,-.37,-.20,-.24,-.32,-.16,-.09,-.05,-.04,.12,-.27,-.18,-.18,-.27,-.27,-.19,.01
1900,-.37,-.06,.00,-.10,-.09,-.11,-.13,-.10,-.06,.09,-.08,-.08,-.09,-.11,-.23,-.06,-.11,-.02
1901,-.23,-.12,.05,-.03,-.16,-.13,-.15,-.21,-.23,-.29,-.17,-.28,-.16,-.14,-.14,-.04,-.16,-.23
1902,-.16,-.10,-.28,-.28,-.33,-.32,-.28,-.31,-.29,-.30,-.37,-.43,-.29,-.28,-.18,-.30,-.30,-.32
1903,-.25,-.07,-.24,-.42,-.41,-.43,-.35,-.46,-.50,-.47,-.42,-.52,-.38,-.37,-.25,-.35,-.41,-.47
1904,-.64,-.59,-.51,-.51,-.52,-.49,-.51,-.49,-.56,-.39,-.18,-.34,-.48,-.49,-.58,-.52,-.50,-.38
1905,-.36,-.59,-.22,-.34,-.30,-.29,-.27,-.21,-.20,-.26,-.08,-.13,-.27,-.29,-.43,-.29,-.25,-.18
